A00.0;Choléra à Vibrio cholerae 01, biovar cholerae;
A00.1;Choléra à Vibrio cholerae 01, biovar El Tor;
A00.9;Choléra, SAI;
A01.0;Fièvre typhoïde;
A01.1;Paratyphoïde A;
A01.2;Paratyphoïde B;
A01.3;Paratyphoïde C;
A01.4;Paratyphoïde, SAI;
A02.0;Entérite à Salmonella;
A02.1;Septicémie à Salmonella;
A02.2;Infect. loc. à Salmonella;
A02.8;Autres infect. préc. à Salmonella;
A02.9;Salmonellose, SAI;
A03.0;Shigellose à Shigella dysenteriae;
A03.1;Shigellose à Shigella flexneri;
A03.2;Shigellose à Shigella boydii;
A03.3;Shigellose à Shigella sonnei;
A03.8;Autres shigelloses;
A03.9;Shigellose, SAI;
A04.0;Infect. entéropathogène à Escherichia coli;
A04.1;Infect. entérotoxigène à Escherichia coli;
A04.2;Infect. entéro-invasive à Escherichia coli;
A04.3;Infect. entéro-hémorr. à Escherichia coli;
A04.4;Autres infect. intest. à Escherichia coli;
A04.5;Entérite à Campylobacter;
A04.6;Entérite à Yersinia enterocolitica;
A04.7;Entérocolite à Clostridium difficile;
A04.8;Autres infect. intest. bact. préc.;
A04.9;Infect. intest. bact., SAI;
A05.0;Intox. alimentaire à saphyloc.;
A05.1;Botulisme;
A05.2;Intox. alimentaire à Clostridium perfringens [Clostridium welchii];
A05.3;Intox. alimentaire à Vibrio parahaemolyticus;
A05.4;Intox. alimentaire à Bacillus cereus;
A05.8;Autres intox. bact. d'or. alimentaire préc.;
A05.9;Intox. bact. d'or. alimentaire, SAI;
A06.0;Dysenterie amibienne (aig.);
A06.1;Amibiase intest. chron.;
A06.2;Colite amibienne non dysentérique;
A06.3;Amoebome (de l'intestin);
A06.4;Abcès amibien du foie;
A06.5;Abcès amibien du poumon (J99.8*);
A06.6;Abcès amibien du cerveau (G07*);
A06.7;Amibiase cutanée;
A06.8;Autres loc. d'une infect. amibienne;
A06.9;Amibiase, SAI;
A07.0;Balantidiose;
A07.1;Giardiase [lambliase];
A07.2;Cryptosporidiose;
A07.3;Infect. à Isospora;
A07.8;Autres mal. intest. préc., à protozoaires;
A07.9;Mal. intest. à protozoaires, SAI;
A08.0;Entérite à rotavirus;
A08.1;Gastro-entéropathie (aig.) à l'agent de Norwalk;
A08.2;Entérite à adénovirus;
A08.3;Autres entérites virales;
A08.4;Infect. intest. virales, SAI;
A08.5;Autres infect. intest. préc.;
A09;Autres gastroentérites et colites d'or. infect. et SAI.;
A09.0;Gastroentérites et colites d’origine infect., NCA ou SAI;
A09.9;Gastroentérites et colites d’origine SAI.;
A15.0;Tuberc. pulm., confirm. par ex. micro. de l'expect., avec ou sans culture;
A15.1;Tuberc. pulm., confirm. par culture seulement;
A15.2;Tuberc. pulm., avec confirm. histo.;
A15.3;Tuberc. pulm., avec confirm., moy. SAI.;
A15.4;Tuberc. des ggl. intrathor., avec confirm.;
A15.5;Tuberc. du larynx, de la trachée et des bronches, avec confirm.;
A15.6;Pleurésie tuberc., avec confirm.;
A15.7;Primo-infect. tuberc. de l'app. resp., avec confirm.;
A15.8;Autres formes de tuberc. de l'app. resp., avec confirm.;
A15.9;Tuberc. de l'app. resp. SAI, avec confirm.;
A16.0;Tuberc. pulm., avec ex. bactério. et histo. négatifs;
A16.1;Tuberc. pulm., sans ex. bactério. et histo.;
A16.2;Tuberc. pulm., (sans ment. de confirm. bactério. ou histo.);
A16.3;Tuberc. des ggl. intrathor., (sans ment. de confirm. bactério. ou histo.);
A16.4;Tuberc. du larynx, de la trachée et des bronches, (sans ment. de confirm. bactério. ou histo.);
A16.5;Pleurésie tuberc., (sans ment. de confirm. bactério. ou histo.);
A16.7;Primo-infect. tuberc. de l'app. resp., (sans ment. de confirm. bactério. ou histo.);
A16.8;Autres formes de tuberc. de l'app. resp., (sans ment. de confirm. bactério. ou histo.);
A16.9;Tuberc. de l'app. resp. SAI, (sans ment. de confirm. bactério. ou histo.);
A17.0;Méningite tuberc. (G01*);
A17.1;Tuberculome méningé (G07*);
A17.8;Autres formes de tuberc. du syst. nerveux;
A17.9;Tuberc. du syst. nerveux, SAI (G99.8*);
A18.0;Tuberc. des os et des artic.;
A18.1;Tuberc. de l'app. gén-urin.;
A18.2;Adénopathie tuberc. périph.;
A18.3;Tuberc. de l'intestin, du péritoine et des ggl. mésent.;
A18.4;Tuberc. de la peau et du tissu cell. /s-cut.;
A18.5;Tuberc. de l'oeil;
A18.6;Tuberc. de l'oreille;
A18.7;Tuberc. des surrénales (E35.1*);
A18.8;Tuberc. d'autres org. préc.;
A19.0;Tuberc. miliaire aig., loc. unique et préc.;
A19.1;Tuberc. miliaire aig., sièges mult.;
A19.2;Tuberc. miliaire aig., SAI;
A19.8;Autres tuberc. miliaires;
A19.9;Tuberc. miliaire, SAI;
A20.0;Peste bubonique;
A20.1;Peste cutanée;
A20.2;Peste pulm.;
A20.3;Peste méningée;
A20.7;Peste septicémique;
A20.8;Autres formes de peste;
A20.9;Peste, SAI;
A21.0;Tularémie ulcéro-glandulaire;
A21.1;Tularémie oculo-glandulaire;
A21.2;Tularémie pulm.;
A21.3;Tularémie gastro-intest.;
A21.7;Tularémie généralisée;
A21.8;Autres formes de tularémie;
A21.9;Tularémie, SAI;
A22.0;Charbon cutané;
A22.1;Charbon pulm.;
A22.2;Charbon gastro-intest.;
A22.7;Septicémie charbonneuse;
A22.8;Autres formes de charbon;
A22.9;Charbon, SAI;
A23.0;Brucellose à Brucella melitensis;
A23.1;Brucellose à Brucella abortus;
A23.2;Brucellose à Brucella suis;
A23.3;Brucellose à Brucella canis;
A23.8;Autres brucelloses;
A23.9;Brucellose, SAI;
A24.0;Morve;
A24.1;Mélioïdose aig. et galopante;
A24.2;Mélioïdose subaig. et chron.;
A24.3;Autres mélioïdoses;
A24.4;Mélioïdose, SAI;
A25.0;Spirillose;
A25.1;Streptobacillose;
A25.9;Fièvre causée par morsure de rat, SAI;
A26.0;Érysipéloïde cutanée;
A26.7;Septicémie à Erysipelothrix;
A26.8;Autres formes d'érysipéloïde;
A26.9;Érysipéloïde, SAI;
A27.0;Leptospirose ictéro-hémorr.;
A27.8;Autres formes de leptospirose;
